Name,Action Family,Action,Timestamp
11,Defensive Game,Tackle,0:00:00
11,Defensive Game,Tackle,0:00:00
11,Defensive Game,Tackle,0:00:00
11,Defensive Game,Tackle,0:00:00
11,Defensive Game,Tackle,0:00:00
11,Defensive Game,Tackle,0:00:00
Kieran Gibbs,Defensive Game,Tackle,0:00:31
Kieran Gibbs,Shooting Game,Right foot,0:00:36
Cristián Suárez,Shooting Game,Right foot,0:00:39
Cristián Suárez,Passing Game,Unsuccessful Pass,0:00:42
Cristián Suárez,Shooting Game,Goal,0:00:45
Nicolas Nkoulou,Defensive Game,Tackle,0:00:48
Nicolas Nkoulou,Passing Game,Short Pass,0:00:52
Nicolas Nkoulou,Passing Game,Short Pass,0:00:53
