               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12698,            0.043971,            0.029074,           0.0034053,             0.17647,           0.0021649,          0.00043765,             0.13483,            0.029845,            0.025921,               1e-05,               1e-05,             0.09991
                   1,             0.12761,            0.042602,            0.029464,           0.0031148,             0.23529,           0.0020883,          0.00050216,             0.13354,            0.029848,            0.025709,               3e-05,               3e-05,             0.09973
                   2,             0.12732,             0.04113,            0.028158,           0.0033694,             0.23529,           0.0024356,           0.0005094,             0.13207,            0.029881,            0.025393,               5e-05,               5e-05,             0.09955
                   3,             0.12472,            0.044593,            0.027919,           0.0037412,             0.23529,           0.0034958,          0.00066105,             0.13048,             0.02994,            0.024993,               7e-05,               7e-05,             0.09937
                   4,             0.12447,            0.040124,            0.027021,           0.0038775,             0.35294,           0.0035089,          0.00068724,             0.12885,            0.030086,            0.024506,               9e-05,               9e-05,             0.09919
                   5,             0.12358,            0.040627,            0.026484,           0.0038695,             0.32353,            0.003041,          0.00066301,             0.12729,            0.030271,            0.023985,             0.00011,             0.00011,             0.09901
                   6,             0.12286,            0.042238,            0.026319,           0.0033774,             0.26471,           0.0033711,          0.00073049,             0.12568,            0.030557,            0.023413,             0.00013,             0.00013,             0.09883
                   7,             0.12322,            0.040063,            0.025425,           0.0032042,             0.23529,           0.0031197,           0.0005768,             0.12413,             0.03088,            0.022789,             0.00015,             0.00015,             0.09865
                   8,             0.12043,            0.040678,            0.024598,           0.0034764,             0.35592,           0.0030893,          0.00057464,             0.12267,            0.031245,            0.022108,             0.00017,             0.00017,             0.09847
                   9,             0.11944,             0.03763,            0.023468,           0.0033972,             0.35294,           0.0033997,          0.00050764,             0.12136,             0.03154,            0.021424,             0.00019,             0.00019,             0.09829
                  10,             0.11977,            0.036618,            0.022779,           0.0032312,             0.32353,           0.0033871,          0.00052846,             0.12004,            0.031915,            0.020699,             0.00021,             0.00021,             0.09811
                  11,             0.11745,            0.036958,            0.022143,           0.0033718,             0.32353,           0.0032388,          0.00052703,             0.11868,            0.032309,             0.01996,             0.00023,             0.00023,             0.09793
                  12,             0.11849,            0.038276,            0.021809,           0.0045057,             0.20886,           0.0038939,          0.00056124,             0.11741,            0.032695,            0.019181,             0.00025,             0.00025,             0.09775
                  13,              0.1163,            0.041155,            0.020693,            0.005411,               0.309,           0.0036014,          0.00060267,             0.11607,            0.033067,            0.018468,             0.00027,             0.00027,             0.09757
                  14,              0.1152,            0.041014,             0.01968,           0.0062679,             0.16194,           0.0040002,          0.00076461,             0.11478,             0.03339,            0.017715,             0.00029,             0.00029,             0.09739
                  15,             0.11383,            0.041894,            0.019153,            0.011491,            0.014881,           0.0046533,            0.001002,             0.11364,              0.0336,            0.016961,             0.00031,             0.00031,             0.09721
                  16,              0.1149,            0.039773,            0.018758,           0.0061643,              0.2591,           0.0045232,           0.0010771,             0.11248,            0.033828,            0.016236,             0.00033,             0.00033,             0.09703
                  17,             0.11476,            0.036437,            0.017742,            0.010978,            0.047269,           0.0063327,           0.0013468,             0.11145,            0.034008,            0.015478,             0.00035,             0.00035,             0.09685
                  18,             0.11233,            0.038454,            0.016905,            0.014685,            0.053221,           0.0056105,           0.0013124,             0.11018,             0.03434,            0.014682,             0.00037,             0.00037,             0.09667
                  19,             0.11185,            0.041679,            0.016778,            0.023156,            0.071078,            0.008403,             0.00168,             0.10908,            0.034385,            0.013941,             0.00039,             0.00039,             0.09649
                  20,             0.11332,            0.039465,            0.016841,             0.02744,            0.068102,           0.0097385,           0.0017941,             0.10783,            0.034625,            0.013247,             0.00041,             0.00041,             0.09631
                  21,              0.1089,            0.043642,            0.015123,            0.022766,            0.085959,            0.012642,           0.0024819,             0.10672,            0.034753,            0.012558,             0.00043,             0.00043,             0.09613
                  22,             0.10778,            0.038733,            0.014341,            0.020463,             0.25088,            0.013911,            0.002358,             0.10554,            0.034822,            0.011905,             0.00045,             0.00045,             0.09595
                  23,             0.11163,            0.037263,            0.014584,              0.0275,             0.20991,            0.017057,           0.0035516,             0.10464,            0.034861,            0.011266,          0.00046999,          0.00046999,             0.09577
                  24,             0.10665,            0.041228,            0.013562,            0.041719,            0.094888,             0.02086,           0.0047417,             0.10309,            0.035023,            0.010689,          0.00048999,          0.00048999,             0.09559
                  25,             0.10602,            0.038753,            0.013241,            0.070263,              0.1362,            0.030287,           0.0056871,             0.10151,             0.03508,             0.01013,          0.00050999,          0.00050999,             0.09541
                  26,             0.10624,            0.037714,            0.012445,            0.082021,             0.20991,            0.049793,           0.0087402,            0.099819,            0.035308,            0.009614,          0.00052999,          0.00052999,             0.09523
                  27,             0.10266,            0.039231,            0.011312,             0.11187,             0.22181,            0.066116,            0.011811,            0.098592,            0.035252,           0.0090888,          0.00054999,          0.00054999,             0.09505
                  28,             0.10401,            0.041083,            0.011517,             0.10197,             0.28659,            0.070328,            0.013985,            0.097689,            0.035194,           0.0086428,          0.00056999,          0.00056999,             0.09487
